policy,kshape,ls,amp,weeks,gain
exploit,ard,0.25,1.0,1,0.0
maximin,ard,0.25,1.0,1,0.0
random,ard,0.25,1.0,1,0.0
observable_EI,ard,0.25,2.0,1,0.0
P_beat,ard,0.25,2.0,1,0.00022060589450633103
LCB,ard,0.25,2.0,1,0.00035496442040144677
latent_EI,ard,0.25,2.0,1,0.0
thompson,ard,0.25,2.0,1,0.0
exploit,ard,0.25,2.0,1,0.0
maximin,ard,0.25,2.0,1,0.0
random,ard,0.25,2.0,1,0.0
observable_EI,ard,0.25,2.0,1,0.0
P_beat,ard,0.25,2.0,1,0.0
LCB,ard,0.25,2.0,1,0.00032830190901820893
latent_EI,ard,0.25,2.0,1,3.6593607555629145e-05
thompson,ard,0.25,2.0,1,0.0
exploit,ard,0.25,2.0,1,0.00021295475282884872
maximin,ard,0.25,2.0,1,0.0
random,ard,0.25,2.0,1,0.0
observable_EI,ard,0.25,2.0,1,0.0
P_beat,ard,0.25,2.0,1,0.0
LCB,ard,0.25,2.0,1,0.0
latent_EI,ard,0.25,2.0,1,0.0
thompson,ard,0.25,2.0,1,0.0
exploit,ard,0.25,2.0,1,0.0
maximin,ard,0.25,2.0,1,0.0
random,ard,0.25,2.0,1,0.0
observable_EI,ard,0.4,0.5,1,0.0
P_beat,ard,0.4,0.5,1,0.0
LCB,ard,0.4,0.5,1,0.0
latent_EI,ard,0.4,0.5,1,0.0
thompson,ard,0.4,0.5,1,0.0
exploit,ard,0.4,0.5,1,0.0
maximin,ard,0.4,0.5,1,0.0
random,ard,0.4,0.5,1,0.0002711116139235572
observable_EI,ard,0.4,0.5,1,0.0
P_beat,ard,0.4,0.5,1,0.0
LCB,ard,0.4,0.5,1,0.0
latent_EI,ard,0.4,0.5,1,0.0
thompson,ard,0.4,0.5,1,0.0
exploit,ard,0.4,0.5,1,0.0
maximin,ard,0.4,0.5,1,0.0
random,ard,0.4,0.5,1,0.0
observable_EI,ard,0.4,0.5,1,0.0
P_beat,ard,0.4,0.5,1,0.0
LCB,ard,0.4,0.5,1,0.0
latent_EI,ard,0.4,0.5,1,0.0
thompson,ard,0.4,0.5,1,0.0
exploit,ard,0.4,0.5,1,0.0
maximin,ard,0.4,0.5,1,0.0
random,ard,0.4,0.5,1,0.0
observable_EI,ard,0.4,1.0,1,0.0
P_beat,ard,0.4,1.0,1,0.0
LCB,ard,0.4,1.0,1,0.0
latent_EI,ard,0.4,1.0,1,0.0
thompson,ard,0.4,1.0,1,0.0
exploit,ard,0.4,1.0,1,0.0
maximin,ard,0.4,1.0,1,0.0
random,ard,0.4,1.0,1,0.0
observable_EI,ard,0.4,1.0,1,0.0
P_beat,ard,0.4,1.0,1,0.0
LCB,ard,0.4,1.0,1,0.0
latent_EI,ard,0.4,1.0,1,0.0
thompson,ard,0.4,1.0,1,0.0
exploit,ard,0.4,1.0,1,0.0
maximin,ard,0.4,1.0,1,0.0
random,ard,0.4,1.0,1,0.0
observable_EI,ard,0.4,1.0,1,0.0
P_beat,ard,0.4,1.0,1,0.0
LCB,ard,0.4,1.0,1,0.0
latent_EI,ard,0.4,1.0,1,0.0
thompson,ard,0.4,1.0,1,0.0
exploit,ard,0.4,1.0,1,0.0
maximin,ard,0.4,1.0,1,0.0
random,ard,0.4,1.0,1,0.0
observable_EI,ard,0.4,2.0,1,0.00027898304365094956
